                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.55507,                0.72435,                 1.0216,                0.76227,                0.86901,                0.90061,                0.78012,                0.55717,                0.68111,                0.87803,             0.00071702,             0.00071702,             0.00071702
                     66,                0.54026,                0.70408,                 1.0159,                0.80466,                0.81322,                0.89579,                0.76212,                0.57923,                0.70003,                0.89171,             0.00071402,             0.00071402,             0.00071402
                     67,                0.57113,                0.70843,                 1.0266,                 0.9023,                0.77592,                 0.9025,                0.78772,                0.56266,                0.61952,                0.89025,             0.00071102,             0.00071102,             0.00071102
                     68,                0.55504,                0.68161,                 1.0242,                0.75077,                 0.8847,                0.90269,                0.76563,                0.60234,                0.68908,                0.91533,             0.00070802,             0.00070802,             0.00070802
                     69,                0.54442,                0.71594,                 1.0152,                0.76977,                 0.8015,                0.86908,                0.72886,                 0.6265,                0.86346,                0.92442,             0.00070502,             0.00070502,             0.00070502
                     70,                 0.5345,                0.67918,                 1.0141,                0.81937,                0.77214,                0.87506,                0.74791,                0.57981,                0.77742,                0.89605,             0.00070202,             0.00070202,             0.00070202
                     71,                0.53793,                0.67817,                 1.0182,                0.75684,                0.85082,                0.87389,                0.75928,                0.56172,                0.67717,                0.89129,             0.00069902,             0.00069902,             0.00069902
                     72,                0.54113,                0.65373,                 1.0109,                0.77849,                0.88847,                 0.9092,                 0.7893,                0.56039,                0.66374,                0.89075,             0.00069602,             0.00069602,             0.00069602
                     73,                0.54109,                0.66631,                 1.0087,                0.76958,                0.87116,                0.88926,                0.74614,                0.57178,                0.69813,                0.89549,             0.00069302,             0.00069302,             0.00069302
                     74,                0.54479,                0.68541,                 1.0121,                0.83634,                0.79257,                0.88297,                0.76143,                0.56328,                 0.7304,                  0.896,             0.00069002,             0.00069002,             0.00069002
                     75,                0.52737,                0.65036,                0.99993,                 0.8127,                 0.8871,                0.89305,                0.77518,                0.56664,                0.60808,                 0.8859,             0.00068702,             0.00068702,             0.00068702
                     76,                0.54202,                0.66569,                 1.0118,                0.74603,                0.88574,                0.89408,                0.77457,                0.57011,                0.75973,                0.88127,             0.00068402,             0.00068402,             0.00068402
                     77,                0.54245,                0.66349,                 1.0191,                0.71818,                0.88655,                 0.8924,                0.76783,                0.58105,                 0.6874,                0.89987,             0.00068102,             0.00068102,             0.00068102
                     78,                0.55371,                0.67106,                 1.0167,                0.78248,                0.81248,                0.87111,                0.75944,                0.55334,                0.64534,                0.88146,             0.00067802,             0.00067802,             0.00067802
                     79,                0.52262,                0.66525,                 1.0012,                0.76072,                0.79845,                0.86195,                0.75676,                 0.5794,                0.76216,                0.91067,             0.00067502,             0.00067502,             0.00067502
                     80,                0.51977,                0.67303,                 1.0045,                0.80789,                0.81938,                  0.875,                0.76867,                0.56887,                0.65588,                0.90371,             0.00067202,             0.00067202,             0.00067202
                     81,                 0.5472,                0.64993,                  1.013,                0.81023,                0.84608,                0.90207,                0.78472,                  0.557,                0.63958,                0.88959,             0.00066902,             0.00066902,             0.00066902
                     82,                0.54342,                0.67282,                 1.0155,                0.82243,                0.81002,                0.88781,                0.74919,                  0.603,                0.69851,                0.90815,             0.00066602,             0.00066602,             0.00066602
                     83,                0.54361,                0.64888,                 1.0162,                 0.7619,                0.83998,                 0.8817,                0.76127,                0.56205,                0.71183,                0.87843,             0.00066302,             0.00066302,             0.00066302
                     84,                0.52429,                0.65299,                 1.0064,                0.80484,                0.82168,                0.89162,                0.76411,                   0.58,                0.66324,                0.89617,             0.00066002,             0.00066002,             0.00066002
                     85,                0.53092,                0.62757,                 1.0113,                0.80974,                0.89231,                0.91301,                0.78131,                0.59276,                0.60173,                0.90555,             0.00065703,             0.00065703,             0.00065703
